Iteration,Discriminator Loss,Generator Loss
0,1.903281,0.683890
10,0.446302,1.034833
20,0.147222,2.143159
30,0.219696,2.789208
40,0.941013,2.203374
50,1.128734,1.759404
60,1.399106,1.241038
70,1.404599,0.760381
80,1.336704,0.701463
90,1.380916,0.628312
100,1.370935,0.655550
110,1.376014,0.679273
120,1.384238,0.643943
130,1.373894,0.718773
140,1.375019,0.678071
150,1.359212,0.685853
160,1.353756,0.682326
170,1.376565,0.692480
180,1.356700,0.682950
190,1.370884,0.708126
200,1.383438,0.679731
210,1.362285,0.651711
220,1.378842,0.751840
230,1.380135,0.698378
240,1.371561,0.659363
250,1.373466,0.663201
260,1.378194,0.659773
270,1.373766,0.695507
280,1.371256,0.696819
290,1.362910,0.666981
300,1.372664,0.724973
310,1.374005,0.691223
320,1.372967,0.686095
330,1.378485,0.703683
340,1.378317,0.732527
350,1.374053,0.663920
360,1.374081,0.714593
370,1.378923,0.692979
380,1.363314,0.710921
390,1.374414,0.689345
400,1.375453,0.709351
410,1.374989,0.717406
420,1.376072,0.740199
430,1.382214,0.678851
440,1.372108,0.733177
450,1.360607,0.652810
460,1.373251,0.702661
470,1.364037,0.696855
480,1.368794,0.711146
490,1.381545,0.676984
500,1.365744,0.730528
510,1.364851,0.697721
520,1.383648,0.682067
530,1.356500,0.716487
540,1.380144,0.727302
550,1.387628,0.694011
560,1.362751,0.664308
570,1.376915,0.701802
580,1.375907,0.684428
590,1.354880,0.701471
600,1.364978,0.672319
610,1.370025,0.686310
620,1.361752,0.700222
630,1.369585,0.702658
640,1.354318,0.727569
650,1.374706,0.687963
660,1.356094,0.682769
670,1.370551,0.706526
680,1.369738,0.690840
690,1.369833,0.679951
700,1.376195,0.654478
710,1.371834,0.728963
720,1.368291,0.759899
730,1.361716,0.672973
740,1.365600,0.671285
750,1.377941,0.684099
760,1.360065,0.666390
770,1.379955,0.642306
780,1.373038,0.774063
790,1.387808,0.680567
800,1.368562,0.686018
810,1.372263,0.706347
820,1.368440,0.702492
830,1.350630,0.628620
840,1.369827,0.691649
850,1.369400,0.743289
860,1.378874,0.791566
870,1.367288,0.684357
880,1.383705,0.708043
890,1.361408,0.710628
900,1.371636,0.672694
910,1.368816,0.765071
920,1.366913,0.728386
930,1.360503,0.701698
940,1.339558,0.678751
950,1.361994,0.755841
960,1.363610,0.745309
970,1.406498,0.823476
980,1.369601,0.690371
990,1.357836,0.694132
1000,1.363425,0.764061
1010,1.348563,0.718185
1020,1.360498,0.717522
1030,1.370479,0.708760
1040,1.367857,0.673939
1050,1.375705,0.638426
1060,1.368631,0.768862
1070,1.353148,0.720273
1080,1.363092,0.749729
1090,1.361682,0.689039
1100,1.385945,0.660461
1110,1.382220,0.780677
1120,1.380374,0.672623
1130,1.350412,0.656510
1140,1.383518,0.691360
1150,1.392947,0.787773
1160,1.350847,0.816077
1170,1.360201,0.706026
1180,1.353997,0.688262
1190,1.358075,0.725393
1200,1.362298,0.751859
1210,1.371502,0.651065
1220,1.371297,0.760451
1230,1.348818,0.678937
1240,1.368863,0.659214
1250,1.353064,0.674040
1260,1.366457,0.649295
1270,1.382434,0.746327
1280,1.367287,0.649315
1290,1.343742,0.616765
1300,1.357712,0.691867
1310,1.324784,0.699720
1320,1.359959,0.689052
1330,1.349639,0.646143
1340,1.368797,0.675085
1350,1.333948,0.732766
1360,1.331093,0.708369
1370,1.376076,0.701037
1380,1.365506,0.663377
1390,1.368585,0.732200
1400,1.369408,0.728545
1410,1.369271,0.738807
1420,1.374725,0.806677
1430,1.363909,0.687193
1440,1.342162,0.645558
1450,1.375860,0.701683
1460,1.365069,0.658392
1470,1.363140,0.692485
1480,1.358026,0.679070
1490,1.357394,0.778024
1500,1.382446,0.735566
1510,1.343429,0.705758
1520,1.378768,0.649503
1530,1.353182,0.757398
1540,1.367869,0.711694
1550,1.373757,0.714608
1560,1.372277,0.757853
1570,1.357889,0.675773
1580,1.360847,0.672145
1590,1.368570,0.677935
1600,1.372222,0.646724
1610,1.371801,0.642071
1620,1.368447,0.718307
1630,1.345136,0.684193
1640,1.353421,0.644355
1650,1.376886,0.660351
1660,1.360021,0.664327
1670,1.362768,0.734454
1680,1.366695,0.674423
1690,1.359015,0.669010
1700,1.372194,0.716985
1710,1.376623,0.647187
1720,1.380457,0.770206
1730,1.358063,0.768661
1740,1.371892,0.670492
1750,1.348385,0.680778
1760,1.344982,0.697227
1770,1.370901,0.680505
1780,1.372023,0.656290
1790,1.361036,0.660413
1800,1.366075,0.700131
1810,1.364574,0.671909
1820,1.355241,0.652112
1830,1.391132,0.753025
1840,1.354326,0.691126
1850,1.362619,0.653928
1860,1.353195,0.619532
1870,1.367342,0.701967
1880,1.358762,0.689992
1890,1.352447,0.672160
1900,1.361163,0.612173
1910,1.365156,0.701961
1920,1.359830,0.750946
1930,1.366842,0.715469
1940,1.358556,0.753047
1950,1.372173,0.649057
1960,1.361378,0.709478
1970,1.370731,0.740273
1980,1.384286,0.722782
1990,1.366638,0.661700
2000,1.349675,0.635310
2010,1.376117,0.682927
2020,1.382021,0.736598
2030,1.368483,0.681811
2040,1.347756,0.608626
2050,1.356840,0.661319
2060,1.355521,0.666025
2070,1.339377,0.712137
2080,1.366419,0.615476
2090,1.358266,0.745094
2100,1.362943,0.752710
2110,1.370156,0.675302
2120,1.337695,0.686222
2130,1.377560,0.761842
2140,1.356684,0.631192
2150,1.361422,0.774467
2160,1.349544,0.656005
2170,1.347607,0.727872
2180,1.355083,0.768925
2190,1.346664,0.647120
2200,1.343345,0.663799
2210,1.333730,0.775584
2220,1.349569,0.712528
2230,1.368762,0.739478
2240,1.356949,0.641122
2250,1.366890,0.695857
2260,1.324970,0.757450
2270,1.366854,0.681117
2280,1.364690,0.656785
2290,1.371113,0.696866
2300,1.371525,0.698686
2310,1.366363,0.677258
2320,1.359393,0.690243
